No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
108,430,48221,3,4,1054,1030,24,3025.3,4.3,2,0.348387794,1,50,49,549799.3456,30000,50,15,986,0.00521235,0.34262514,0.01496134506,0.9834590818,132,161,29
109,140,13348,1799,0,3002,748,2254,12995.7,17,0,0.230962351,899,61.83,2950,49917885.43,10253,17,1,668,0.00034749,0.23212332,0.001504530927,1.005026659,435,606,171
110,1410,46014,761,1423,2791,1898,893,3508,0.8,1.7,0.795615109,194,22.53,1881,9244827.572,37389,62,371,1920,0.12891879,0.6671808,0.1620366287,0.8385723102,0,0,0
111,1430,43632,546,698,1710,1132,578,2924.6,0,1.1,0.584688889,135,22.09,1033,6908804.346,32316,53,393,1273,0.13656357,0.44235477,0.2335662137,0.7565643513,0,0,0
112,1440,65608,1268,2136,2463,1077,1386,922.8,1.8,1.9,2.668988229,116,10.31,2898,4245894.526,42712,71,3029,4650,1.05254721,1.6158285,0.3943618779,0.6054086273,0,0,0
113,590,30416,372,0,1921,1227,694,2459,18.8,0,0.781224154,131,30.97,926,4631469.245,19065,31,47,2200,0.01633203,0.764478,0.02090569002,0.9785642137,197,275,78
114,510,32991,781,854,1445,237,1208,3395.2,15.6,1.1,0.425555172,257,32.12,1895,17401923.21,24918,41,43,1179,0.01494207,0.40969071,0.03511194548,0.9627205518,252,346,94
115,150,68798,1,0,841,840,1,9449.4,0,0,0.08895274,0,0,1,43936.58022,0,0,0,253,0,0.08791497,0,0.9883334679,630,947,317
116,200,80645,242,382,608,483,125,7246.7,1.7,1.7,0.083913535,37,16.3,409,19050928.73,57044,94,0,243,0,0.08444007,0,1.006274733,108,178,70
117,190,0,0,0,284,284,0,2392.6,0,0,0.118714513,0,0,0,0,0,0,0,340,0,0.1181466,0,0.9952161451,26,73,47
118,220,80647,10,20,103,94,9,1627.2,0,1.7,0.063293421,2,16.67,28,1729189.524,60675,100,2,180,0.00069498,0.0625482,0.01098028814,0.9882259327,41,63,22
119,100,68798,6,7,432,427,5,6008.3,0,0.9,0.071904636,2,25,8,434752.4107,29226,48,108,94,0.03752892,0.03266406,0.5219262914,0.4542691795,1105,1075,30
120,80,68798,1,0,944,943,1,44319.2,0,0,0.021268019,0,0,1,183738.1404,0,0,0,61,0,0.02119689,0,0.9966555888,1724,1969,245
121,50,68798,4,3,2013,2009,4,92765,0,0.8,0.02165067,1,25,6,1082977.919,7500,12,0,62,0,0.02154438,0,0.9950906831,3326,2475,851
122,20,68794,118,0,1999,1902,97,60759.9,4.2,0,0.032899595,0,0,166,19718512.04,33199,55,0,94,0,0.03266406,0,0.9928407933,4809,4016,793
123,160,0,0,0,4502,4497,5,116330.7,0,0,0.038654183,0,0,9,909961.4349,0,0,4,108,0.00138996,0.03752892,0.03595885082,0.9708889721,2967,3068,101
124,240,61813,103,112,1661,1485,176,29555.2,6.1,1.2,0.05624732,31,31.96,296,20566293.59,27785,46,0,165,0,0.05733585,0,1.019352566,258,303,45
125,170,68610,268,259,3506,3293,213,47765.7,4.4,0.9,0.073449467,90,30.93,360,19155489.05,33036,55,0,210,0,0.0729729,0,0.9935116343,2884,2686,198
126,180,68794,79,97,1335,1267,68,15433.5,3.9,0.9,0.086546348,34,31.19,117,5283698.085,32502,54,2,246,0.00069498,0.08548254,0.008030148193,0.9877082277,2328,2327,1
127,670,104196,1196,1809,1477,832,645,2415.8,2.5,1.7,0.611358444,85,8.03,2442,15606248.72,63837,105,11,1756,0.00382239,0.61019244,0.006252289532,0.9980927654,326,249,77
128,680,184723,303,722,593,348,245,641.4,0,2.2,0.924484231,8,2.4,697,2945515.903,120883,200,853,1801,0.29640897,0.62582949,0.3206209041,0.6769498808,21,25,4
129,420,120275,471,656,694,150,544,1317.4,0.2,1.5,0.526783137,20,4.65,942,6987303.88,81261,134,357,1158,0.12405393,0.40239342,0.2354933582,0.7638692125,4,10,6
130,410,122582,93,129,603,528,75,5562.7,0,1.5,0.10844207,4,4.71,127,4576133.034,84385,139,121,185,0.04204629,0.06428565,0.387730426,0.5928109819,301,234,67
131,400,67416,380,558,1919,1614,305,6013.8,2,1.5,0.31912387,54,14.29,687,8411387.082,45873,76,141,781,0.04899609,0.27138969,0.1535331406,0.8504211546,46,102,56
132,650,65533,731,782,1399,703,696,1579.4,4,1.6,0.885785209,63,13.02,1700,7498094.083,47485,78,699,1847,0.24289551,0.64181403,0.2742149085,0.7245707238,0,0,0
133,310,68340,176,298,1648,1304,344,15287.6,6.4,1.9,0.107819865,39,24.22,767,27801454.86,35430,59,6,300,0.00208494,0.104247,0.01933725293,0.9668626463,588,712,124
134,330,58944,337,301,1783,400,1383,16194.4,6.6,1.3,0.110146131,76,33.19,2377,84341570.64,24352,40,0,317,0,0.11015433,0,1.000074437,734,753,19
135,210,80667,1,0,69,69,0,997.1,0,0,0.069226469,0,0,2,112924.3243,0,0,1,202,0.00034749,0.07019298,0.00501961179,1.013961582,0,2,2
136,390,0,0,0,44,44,0,1271.7,0,0,0.034590401,0,0,0,0,0,0,1,98,0.00034749,0.03405402,0.01004585058,0.984493357,0,0,0
137,110,0,0,0,383,383,0,2398.2,0,0,0.159747764,0,0,0,0,0,0,239,218,0.08305011,0.07575282,0.5198827697,0.4742026937,0,0,0
138,120,0,0,0,3080,3079,1,18554.2,0,0,0.166041491,0,0,1,23535.42617,0,0,21,458,0.00729729,0.15915042,0.04394859355,0.9584978974,1,14,13
139,90,68792,14,12,327,314,13,8054.2,0,0.9,0.040628716,4,28.57,22,2115983.033,31872,53,0,118,0,0.04100382,0,1.009232485,1153,966,187
140,10,68794,81,91,1872,1800,72,54104,3.8,0.9,0.034618316,31,30.39,121,13659504.93,33106,55,0,102,0,0.03544398,0,1.023850496,404,311,93
141,40,0,0,0,613,613,0,25974.6,0,0,0.023636403,0,0,0,0,0,0,0,69,0,0.02397681,0,1.014401811,527,142,385
142,350,58943,77,30,2445,2349,96,7227.3,6.8,1.3,0.338315229,8,34.78,163,1883114.097,24439,40,0,975,0,0.33880275,0,1.001441026,1937,1674,263
143,600,35932,483,487,1150,345,805,1943.2,10.7,1.1,0.591755915,202,46.12,1242,8201190.117,29581,49,395,1306,0.13725855,0.45382194,0.2319512936,0.7669073152,128,129,1
144,560,41784,647,586,1305,108,1197,3240.6,11.9,1,0.402660942,140,24.39,1780,17277208.77,30750,51,359,797,0.12474891,0.27694953,0.3098113002,0.6877983462,195,314,119
145,550,22733,490,466,6018,5081,937,17057.8,16.2,0.8,0.352794834,307,54.24,1268,14046531.79,14759,24,8,1013,0.00277992,0.35200737,0.007879707218,0.9977679265,142,166,24
146,540,36321,254,296,2689,2471,218,14078.5,3,1.3,0.190990013,34,15.11,626,12810967.4,26523,44,0,548,0,0.19042452,0,0.9970391488,247,348,101
147,340,58710,258,260,774,392,382,5750.4,6.6,1.3,0.134607689,66,33.5,647,18785837.37,24829,41,0,386,0,0.13413114,0,0.9964597193,365,313,52
148,230,80645,147,197,764,635,129,5959.4,1.7,1.7,0.128206297,19,16.24,405,12347732.76,56755,94,2,367,0.00069498,0.12752883,0.005420794581,0.9947158056,95,182,87
149,70,68794,389,233,1032,689,343,7334.8,4.7,0.9,0.14070338,81,30.92,585,16246818.23,32906,54,126,284,0.04378374,0.09868716,0.3111775993,0.7013844301,512,878,366
150,280,65220,82,117,95,9,86,407,8.2,1.6,0.233422959,15,20.27,135,2260023.875,31424,52,439,230,0.15254811,0.0799227,0.6535265882,0.3423943401,9,19,10
151,270,67049,33,40,307,282,25,14619,5.6,1.2,0.02103718,8,24.24,41,7616059.537,32455,54,3,57,0.00104247,0.01980693,0.04955369493,0.9415202038,148,81,67
152,260,65487,88,125,614,293,321,10477.8,7.5,1.5,0.058576227,16,19.75,539,35959257.29,30618,51,0,173,0,0.06011577,0,1.026282727,221,206,15
153,250,67486,89,116,725,382,343,13757.1,7,1.1,0.052731152,30,28.04,579,42910773.99,31453,52,0,148,0,0.05142852,0,0.9752967278,274,379,105
154,60,68794,23,23,5385,5367,18,125524.5,7.1,0.9,0.042891433,8,32,32,2915535.611,35000,58,0,123,0,0.04274127,0,0.9964989978,2802,2339,463
155,30,68794,48,31,2555,2441,114,71769.7,4.7,0.9,0.0355521,11,32.35,673,73978288.45,31923,53,2,100,0.00069498,0.034749,0.01954821234,0.9774106171,4334,3620,714
156,300,68324,113,191,507,388,119,3292.2,6.5,1.8,0.153982983,25,24.04,235,5964189.239,34465,57,22,426,0.00764478,0.14803074,0.04964691456,0.9613448,639,748,109
157,530,54117,409,623,1279,665,614,2457.3,6.8,1.5,0.52049095,98,24.02,1123,8434037.237,31943,53,84,1408,0.02918916,0.48926592,0.05608005288,0.9400085054,180,219,39
158,1070,74946,314,454,393,36,357,1159.6,4.6,1.8,0.338933875,32,12.7,730,8420474.247,42241,70,134,839,0.04656366,0.29154411,0.1373827269,0.8601799097,0,0,0
159,1130,50722,699,922,1142,91,1051,1020.5,3.5,1.4,1.119099075,142,21.71,1779,6211755.9,33867,56,1456,1770,0.50594544,0.6150573,0.4521006686,0.5496004007,44,53,9
160,1650,59323,542,1131,785,242,543,1555.4,3.4,2,0.504668391,45,7.94,1249,9663540.657,55548,92,146,1311,0.05073354,0.45555939,0.1005284676,0.9026905551,12,6,6
161,470,45546,674,918,1631,483,1148,4266.3,3.4,1.5,0.382288365,176,28.25,2098,21451593.95,31117,51,19,1081,0.00660231,0.37563669,0.01727049684,0.9826003729,365,346,19
162,2990,31764,266,368,1118,614,504,3141.3,7,0.9,0.355887796,124,29.81,818,8985571.673,22604,37,0,1020,0,0.3544398,0,0.9959313131,167,223,56
163,1030,19895,437,359,1437,727,710,9689.8,17.5,0.8,0.148344929,236,54.25,1082,28516285.81,15357,25,0,427,0,0.14837823,0,1.000224484,304,218,86
164,980,29638,510,541,2460,1523,937,5603.6,15.3,1.1,0.43903996,228,46.34,1511,13456158.82,20281,33,2,1263,0.00069498,0.43887987,0.001582953861,0.9996353635,135,168,33
165,970,39768,243,319,1015,602,413,4403.5,13.3,1.4,0.230511943,86,37.89,702,11906058.03,28926,48,1,659,0.00034749,0.22899591,0.0015074707,0.9934231911,293,203,90
166,460,51925,504,581,2217,1046,1171,4411.1,4.4,1.5,0.502647438,121,30.87,1935,15048945.65,29307,48,11,1439,0.00382239,0.50003811,0.007604515036,0.9948088306,364,439,75
167,780,52678,658,1156,1301,538,763,1835,1.1,1.6,0.708986496,41,5.81,1562,8603196.801,46533,77,268,1773,0.09312732,0.61609977,0.1313527416,0.8689866076,108,105,3
168,770,69129,769,1080,1166,431,735,1239.8,7.4,2.2,0.94049325,44,8.85,1683,6988268.461,53409,88,615,2090,0.21370635,0.7262541,0.2272279466,0.7722055421,102,111,9
169,760,253246,414,0,967,265,702,558.9,2,0,1.730082187,18,5.45,1095,2472017.895,174931,289,2851,2133,0.99069399,0.74119617,0.5726282817,0.4284167397,66,84,18
170,850,135146,438,737,835,255,580,109.5,0,1.7,7.623801728,0,0,950,487245.053,108967,180,18452,3483,6.41188548,1.21030767,0.8410351828,0.158753823,0,0,0
171,1920,154259,891,2559,1272,63,1209,399.8,3.2,2.7,3.181828465,20,2.09,2359,2894550.958,115761,191,6752,2398,2.34625248,0.83328102,0.7373912534,0.2618874742,0,0,0
172,1900,78828,370,462,3862,3475,387,3048.1,2.7,1.4,1.267018181,15,4.7,717,2209228.106,50742,84,1208,2441,0.41976792,0.84822309,0.3313037858,0.6694640241,300,225,75
173,1620,41602,499,445,1576,717,859,6515.1,10.1,1.4,0.241875582,51,15.6,1181,19064030.47,28081,46,0,700,0,0.243243,0,1.005653394,76,135,59
174,1600,86821,400,653,584,112,472,348.1,3.1,1.5,1.677934803,19,4.45,914,2126907.067,55979,92,3584,1239,1.24540416,0.43054011,0.7422244045,0.2565892961,0,0,0
175,1590,116902,1138,937,875,111,764,670.3,2.4,1.9,1.305347166,15,2.99,2083,6231329.016,102516,169,2362,1400,0.82077138,0.486486,0.6287763144,0.3726870619,0,0,0
176,1640,60635,897,1396,1089,50,1039,1579.2,3.7,1.7,0.689564175,197,23.65,2275,12880138.5,50583,84,19,1960,0.00660231,0.6810804,0.009574612834,0.9876969029,0,0,0
177,990,35129,296,524,923,209,714,5185.4,16.4,1.3,0.1779711,193,47.19,1006,22102521.54,27250,45,0,513,0,0.17826237,0,1.001636614,90,87,3
178,520,32446,387,477,1032,218,814,4723.1,10.8,1.2,0.218473335,143,35.84,1314,23509773.81,22832,38,0,636,0,0.22100364,0,1.011581757,357,415,58
179,630,0,0,0,2380,2380,0,1765.1,0,0,1.348370694,0,0,0,0,0,0,1418,2456,0.49274082,0.85343544,0.3654342401,0.632938289,106,97,9
180,570,0,0,0,1275,1275,0,1121.7,0,0,1.136721684,0,0,0,0,0,0,1601,1665,0.55633149,0.57857085,0.4894175046,0.508981977,50,67,17
181,1190,44151,643,1002,987,69,918,724,5.3,1.6,1.363218632,183,28.33,1499,4296870.36,35785,59,2112,1805,0.73389888,0.62721945,0.5383574305,0.460101876,64,54,10
182,580,46011,158,393,2665,2475,190,3618,6.6,1.5,0.736622139,18,7.06,359,1904061.474,38579,64,25,2100,0.00868725,0.729729,0.01179335991,0.9906422321,11,29,18
183,440,44262,36,49,546,449,97,2059.6,6.7,1.4,0.265135199,10,28.57,169,2491424.3,35000,58,0,764,0,0.26548236,0,1.001309373,140,162,22
184,500,34039,582,638,1189,330,859,3966,14.7,1,0.299818802,185,30.18,1442,18796747.52,26544,44,0,863,0,0.29988387,0,1.000217024,363,347,16
185,1660,83385,541,1127,821,117,704,1608.5,10.1,1.7,0.510373218,111,17,1376,10526158.73,55850,92,80,1388,0.0277992,0.48231612,0.05446837534,0.9450263121,0,0,0
186,1630,66605,848,0,3099,1858,1241,3494.6,4.5,0,0.886813477,138,16.07,1888,8312158.763,53933,89,66,2485,0.02293434,0.86351265,0.02586151496,0.9737252223,136,167,31
187,1700,49764,1003,1414,1043,173,870,448.4,1.4,1.3,2.325872954,210,18.63,1907,3201320.511,35758,59,5321,1373,1.84899429,0.47710377,0.7949678794,0.205128904,0,0,0
188,1680,59168,513,963,880,223,657,770,8.8,1.6,1.142915484,113,18.34,1118,3818761.32,41005,68,1584,1708,0.55042416,0.59351292,0.4815965552,0.5192972957,0,0,0
189,1670,53483,554,919,686,135,551,1586.1,0,1.7,0.432456145,54,9.94,1146,10346099.18,45822,76,40,1200,0.0138996,0.416988,0.03214106253,0.964231876,0,0,0
190,1690,69291,439,781,491,95,396,1613.5,1.1,1.7,0.304283291,21,4.6,842,10803735.87,45101,74,204,670,0.07088796,0.2328183,0.2329669821,0.7651366568,0,0,0
191,1810,79721,496,643,688,23,665,174.2,5.8,1.8,3.948605855,34,9.63,1330,1314523.819,54727,90,9672,1695,3.36092328,0.58899555,0.851167071,0.1491654451,0,0,0
192,690,94869,1344,1966,1236,245,991,1985.9,1.2,1.7,0.622425263,129,11.37,2753,17279444.95,66021,109,40,1751,0.0138996,0.60845499,0.02233135579,0.9775550997,22,27,5
193,750,77333,1041,1928,1245,126,1119,1218.2,6.2,1.9,1.021989092,222,21.57,2226,8506868.156,49739,82,540,2402,0.1876446,0.83467098,0.1836072434,0.8167122199,58,72,14
194,740,53726,963,1333,1425,398,1027,1390.1,5.7,1.4,1.025071535,171,18.55,2090,7962447.262,33115,55,501,2444,0.17409249,0.84926556,0.1698344789,0.8284939451,0,0,0
195,720,44631,1210,1656,1794,548,1246,1695,0.7,1.6,1.05841851,130,12.62,2591,9561340.879,34180,56,491,2556,0.17061759,0.88818444,0.1612004971,0.8391618548,0,0,0
196,710,71744,492,779,484,101,383,654.7,2.1,1.6,0.739337468,175,36.01,985,5204223.969,42875,71,938,1193,0.32594562,0.41455557,0.4408617635,0.560712243,0,0,0
197,1710,181802,815,1740,1222,113,1109,874,1.7,2.3,1.398240553,44,5.75,2141,5978684.614,126335,209,1623,2403,0.56397627,0.83501847,0.4033470985,0.5971922844,0,0,0
198,1720,133314,938,1038,1757,509,1248,1402.5,4.2,1.6,1.252754852,19,2.99,1999,6230268.393,83840,138,1775,1825,0.61679475,0.63416925,0.4923507173,0.5062197516,0,0,0
199,810,74503,257,441,897,562,335,263.8,6.2,1.7,3.400470492,60,23.17,689,791244.3687,46973,78,7581,2211,2.63432169,0.76830039,0.774693295,0.2259394374,0,0,0
200,2510,163371,442,890,899,353,546,332.9,0.7,2.5,2.700312097,0,0,1260,1822187.341,118623,196,5403,2372,1.87748847,0.82424628,0.6952857309,0.3052411167,0,0,0
201,2760,132275,881,0,1643,330,1313,473.4,1.4,0,3.470925577,0,0,2544,2861710.669,103533,171,5978,4014,2.07729522,1.39482486,0.5984845177,0.4018596277,0,0,0
202,1950,93622,281,0,262,30,232,116.6,1,0,2.246365898,9,2.88,785,1364493.91,93002,154,5295,1170,1.83995955,0.4065633,0.8190827468,0.1809871225,0,0,0
203,2240,89408,914,1775,1671,347,1324,400.9,5.8,1.9,4.167940753,53,5.6,2316,2169244.499,76940,127,8800,3189,3.057912,1.10814561,0.7336745365,0.2658736474,0,0,0
204,1960,98478,579,0,616,38,578,244.3,1.4,0,2.521247069,5,0.84,1457,2255905.464,79679,132,4553,2706,1.58212197,0.94030794,0.6275156408,0.3729535084,0,0,0
205,1970,45803,775,898,896,36,860,600.3,0,1.4,1.492607627,114,17.43,1772,4635866.752,37447,62,2057,2235,0.71478693,0.77664015,0.4788846828,0.520324388,0,0,0
206,2230,62778,621,0,1456,487,969,652.7,9,0,2.230656157,42,7.54,1706,2986427.777,54702,90,4426,1987,1.53799074,0.69046263,0.6894790733,0.3095334204,0,0,0
207,1370,38911,93,0,1309,1215,94,833.6,2.3,0,1.570323328,19,27.94,219,545120.8677,32398,54,1114,3405,0.38710386,1.18320345,0.2465122011,0.7534775985,137,176,39
208,660,68444,490,830,2479,1915,564,4979.9,1,1.4,0.49782988,90,15.03,1234,9684184.77,44748,74,344,1086,0.11953656,0.37737414,0.2401152779,0.7580383484,121,154,33
209,1110,76856,925,1290,1211,261,950,1956.1,5.2,1.5,0.619134747,138,16.03,2067,13049520.42,34219,57,216,1563,0.07505784,0.54312687,0.1212302174,0.8772353234,538,544,6
210,1290,87972,534,0,877,409,468,2231,2.1,0,0.393108778,0,0,1222,12153465.89,63126,104,2,1128,0.00069498,0.39196872,0.00176790761,0.9970998918,207,189,18
211,1400,50115,560,695,865,247,618,3076.1,5.4,1.4,0.281195914,96,18.68,1336,18576391.17,37237,61,0,812,0,0.28216188,0,1.003435206,237,232,5
212,1220,62834,334,497,642,319,323,2283.9,4.7,1.5,0.281077371,62,19.02,725,10082891.83,41089,68,22,788,0.00764478,0.27382212,0.027198134,0.9741877086,375,340,35
213,1210,56925,643,0,856,9,847,1883.4,0.4,0,0.454493222,20,4.09,1597,13734273.08,45861,76,92,1219,0.03196908,0.42359031,0.07034005889,0.9320057803,28,8,20
214,1460,66815,783,1041,2288,1634,654,3416.5,1.6,1.5,0.669741317,108,15.34,1377,8038191.461,41731,69,136,1796,0.04725864,0.62409204,0.07056252735,0.9318404347,81,64,17
215,1380,43445,364,316,1932,1439,493,3984.3,3,1.5,0.484887935,43,19.91,1024,8254542.174,35676,59,1,1403,0.00034749,0.48752847,0.0007166398149,1.00544566,263,316,53
216,1470,44967,1210,1595,3902,2843,1059,4432.1,1.7,1.6,0.88039948,196,19.66,2504,11118344.92,37868,63,374,2150,0.12996126,0.7471035,0.1476162389,0.848596026,337,382,45
217,1570,77975,925,1538,1396,439,957,906.1,2.8,1.8,1.540558826,124,14.83,2175,5514152.494,45297,75,1928,2502,0.66996072,0.86941998,0.4348816213,0.5643536393,34,27,7
218,1560,55511,1297,1789,2217,875,1342,2710.3,2.9,1.8,0.818030873,166,16.24,2897,13834262.97,42077,69,0,2353,0,0.81764397,0,0.9995270313,60,52,8
219,1200,52847,290,551,496,51,445,1502.1,6.6,1.8,0.330215826,41,13.36,776,9184370.98,40000,66,96,855,0.03335904,0.29710395,0.1010219298,0.8997265625,74,71,3
220,1330,61760,517,0,720,90,630,1681.9,6.4,0,0.428147381,46,9.66,1310,11959436.98,43683,72,93,1140,0.03231657,0.3961386,0.07548001327,0.9252388724,2,2,0
221,1320,38627,333,0,471,6,465,2558.4,7.5,0,0.184142619,100,31.75,849,18022671.48,34042,56,0,527,0,0.18312723,0,0.9944858556,0,0,0
222,1230,62995,587,705,667,145,522,1869.4,2.5,1.6,0.35684404,86,19.24,1254,13738318.12,48304,80,17,1011,0.00590733,0.35131239,0.01655437485,0.98449841,397,380,17
223,320,37288,82,91,344,247,97,2546.3,6,1.2,0.13508778,29,36.71,206,5959812.095,22509,37,0,391,0,0.13586859,0,1.005780019,356,392,36
